id,name,party,sector,country
uvdl,Ursula von der Leyen,CDU,Politik,Deutschland
lk,Lars Klingbeil,SPD,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland
sw,Sahra Wagenknecht,Die Linke,Politik,Deutschland
cs,Constanze Stelzenmüller,,Journalismus,Deutschland
500,Folge 500,,,
CDU,Partei CDU,,,
SPD,Partei SPD,,,
DieLinke,Partei Die Linke,,,
cl,Christian Lindner,FDP,Politik,Deutschland
ks,Karl Schlögel,,Wissenschaft,Deutschland
lm,Ljudmyla Melnyk,,Wissenschaft,Ukraine
kd,Kristina Dunz,,Journalismus,Deutschland
el,Egils Levits,,,Lettland
501,Folge 501,,,
FDP,Partei FDP,,,
ab,Annalena Baerbock,Die Grünen,Politik,Deutschland
ft,Frans Timmermans,,i. Politik,Deutschland
am,Andrij Melnyk,,i. Politik,Deutschland
agl,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,,Military,Deutschland
DieGrünen,Partei Die Grünen,,,
502,Folge 502,,,
rh,Robert Habeck,Die Grünen,Politik,Deutschland
cm,Claudia Major,,Wissenschaft,Deutschland
kp,Katja Petrowskaja,,Journalismus,Deutschland
rk,Roderich Kiesewetter,CDU,Politik,Deutschland
503,Folge 503,,,
